Season,Crop Name,N (kg/ha),P₂O₅ (kg/ha),K₂O (kg/ha),pH,Moisture (%),Temp (°C),Yield Success (0-1)
Kharif,Jowar,94.39,45.44,46.98,6.68,58.98,29.03,0.8416
Rabi,Wheat,148.97,54.74,41.83,6.91,73.69,20.45,0.7659
Kharif,Ragi,54.53,49.74,27.4,6.83,71.14,29.43,0.7823
Kharif,Jowar,84.47,40.18,43.68,7.46,64.75,29.55,0.7866
Rabi,Wheat,123.26,59.59,45.34,6.58,77.55,24.89,0.6979
Kharif,Groundnut,20.37,40.42,25.53,6.45,66.36,33.69,0.6315
Annual,Sugarcane,293.57,78.02,181.13,7.21,82.17,31.25,0.7053
Rabi,Wheat,137.04,50.65,44.3,6.52,77.17,21.7,0.8004
Kharif,Ragi,57.45,44.36,29.67,7.02,73.94,26.5,0.6988
Annual,Sugarcane,293.75,97.99,153.73,7.5,78.07,29.6,0.6676
Rabi,Wheat,149.58,50.15,44.22,7.29,75.68,21.94,0.7112
Rabi,Wheat,134.95,57.45,41.51,7.2,65.7,20.89,0.7215
Kharif,Ragi,50.58,45.43,27.5,6.58,70.69,26.94,0.8329
Kharif,Cotton,129.67,67.21,66.16,6.43,70.34,28.2,0.809
Kharif,Jowar,94.6,47.04,43.62,7.95,61.81,29.49,0.8175
Rabi,Wheat,127.31,58.36,40.4,6.16,69.92,21.27,0.6894
Kharif,Jowar,82.13,47.83,48.4,7.33,63.77,31.73,0.7146
Kharif,Ragi,51.65,42.42,29.86,6.44,71.19,27.12,0.7398
Kharif,Groundnut,24.29,45.69,27.99,6.36,74.47,34.16,0.7253
Annual,Sugarcane,268.34,91.46,163.73,6.6,84.32,31.5,0.7241
Kharif,Jowar,89.5,47.09,48.24,7.64,59.06,29.07,0.8011
Rabi,Wheat,133.26,58.44,42.07,7.35,75.37,23.54,0.7509
Kharif,Rice,107.54,51.23,41.67,6.36,90.61,29.21,0.8022
Kharif,Groundnut,23.3,40.52,26.27,7.18,74.03,28.18,0.7124
Kharif,Rice,111.67,45.94,54.42,6.56,93.35,34.28,0.7141
Kharif,Cotton,146.44,70.8,61.4,7.05,78.67,31.15,0.7403
Kharif,Jowar,91.75,47.55,40.45,6.96,59.17,30.82,0.7828
Kharif,Ragi,50.49,41.32,27.56,6.68,74.85,29.45,0.7044
Annual,Sugarcane,285.31,81.13,174.66,6.74,75.04,28.92,0.7328
Kharif,Cotton,128.29,65.17,61.02,6.63,79.91,25.82,0.6929
Kharif,Jowar,97.81,47.43,49.4,7.68,69.21,28.15,0.6449
Kharif,Cotton,149.73,69.55,61.62,7.69,70.05,26.09,0.6225
Kharif,Jowar,98.15,42.04,44.33,6.5,58.88,29.72,0.7824
Kharif,Jowar,88.02,42.55,43.31,6.68,60.66,30.84,0.8227
Kharif,Cotton,127.78,66.91,64.93,6.38,75.84,32.71,0.8262
Kharif,Cotton,141.61,65.78,69.34,6.55,72.24,34.47,0.7767
Kharif,Groundnut,20.22,49.55,29.28,7.25,74.06,30.04,0.6649
Kharif,Ragi,54.76,49.01,26.65,7.32,62.46,28.42,0.759
Kharif,Cotton,128.68,74.26,69.42,6.58,72.77,31.9,0.7754
Kharif,Rice,147.72,52.48,54.09,6.04,94.34,31.79,0.7403
Annual,Sugarcane,296.81,96.39,185.54,7.2,82.83,28.94,0.6786
Kharif,Jowar,85.52,49.37,45.78,6.85,65.21,28.84,0.8122
Annual,Sugarcane,254.53,79.46,177.16,6.74,80.33,28.49,0.7366
Kharif,Ragi,51.84,41.16,29.67,5.98,74.65,27.19,0.6545
Kharif,Cotton,147.46,68.5,73.6,7.68,73.63,29.2,0.7566
Rabi,Wheat,136.43,50.63,44.34,6.02,75.11,24.62,0.7274
Rabi,Wheat,149.33,50.51,49.32,6.67,70.02,21.52,0.7044
Kharif,Jowar,83.64,46.41,45.96,7.55,63.77,31.01,0.7972
Kharif,Cotton,132.46,73.77,71.41,6.04,71.85,30.41,0.7483
Rabi,Wheat,127.93,54.85,48.38,6.21,74.07,20.88,0.7704
Kharif,Groundnut,21.84,42.57,28.58,6.99,71.63,25.05,0.7652
Kharif,Rice,107.89,45.11,51,6.97,89.96,30.86,0.7722
Kharif,Jowar,97.09,45.46,44.47,7.24,69.84,27.9,0.7695
Kharif,Groundnut,23.25,44.98,27.27,6.44,66.38,31.73,0.8434
Kharif,Ragi,59.23,47,27.05,6.76,65.55,26.95,0.7941
Kharif,Cotton,127.99,66.11,63.15,7.73,74.39,28.62,0.8012
Kharif,Groundnut,22.84,49.42,26.75,7.16,73.21,30.86,0.7766
Annual,Sugarcane,283.8,95.99,151.2,7.04,77.66,30.36,0.7751
Kharif,Rice,141.06,47.95,51.28,5.88,83.89,34.33,0.7653
Kharif,Rice,105.72,45.84,52.03,6.98,80.74,34.17,0.6584
Kharif,Groundnut,22.03,40.58,28.83,6.91,65.65,33.29,0.7212
Rabi,Wheat,126.49,51.34,41.26,7.45,67.46,23.76,0.6536
Rabi,Wheat,140.77,53.74,49.03,7.41,76.91,22.02,0.7414
Kharif,Jowar,92.38,47.05,47.6,7.83,55.88,27.97,0.7089
Kharif,Rice,103.55,52.48,40.93,6.04,84.64,33.34,0.7215
Rabi,Wheat,139.66,57.98,49.62,6.75,74.52,21.55,0.7933
Kharif,Cotton,131.41,72.39,66.87,7.49,77.16,28.48,0.8127
Kharif,Ragi,58.87,43.18,26.66,5.89,69.7,29.78,0.7277
Kharif,Ragi,56.83,49.27,25.44,7.31,70.97,28.48,0.7036
Kharif,Cotton,144.47,67.43,72.53,7.76,73.71,32.68,0.7594
Kharif,Groundnut,20.72,43.78,27.45,7.39,66.89,30.96,0.7797
Kharif,Groundnut,21.25,41.36,28.72,6.43,67.37,26.54,0.7199
Annual,Sugarcane,255.3,78.13,178.97,7.42,78.68,28.11,0.6637
Kharif,Jowar,83.21,44.9,40.41,6.78,60.59,30.03,0.808
Kharif,Cotton,138.72,64.29,69.1,7.44,76.75,25.21,0.776
Rabi,Wheat,140.84,59.76,41.62,7.48,73.65,22.58,0.7353
Kharif,Rice,118.32,48.23,56.01,6.55,87.93,31.1,0.8565
Kharif,Jowar,94.49,45.14,42.55,6.19,64.19,30.68,0.7938
Kharif,Ragi,51.87,45.14,27.47,7.33,67.21,29.15,0.8242
Kharif,Rice,138.82,57.44,51.02,6.51,84.26,26.23,0.7557
Kharif,Rice,102.38,56.66,40.73,6.36,86.69,30.38,0.7643
Rabi,Wheat,147.25,56.93,42.14,6.09,67.98,24.53,0.6609
Kharif,Rice,114.43,58.33,56.24,6.08,82.15,34.29,0.6935
Kharif,Jowar,84.64,45.24,44.14,6.07,59.93,31.13,0.7766
Annual,Sugarcane,282,84.05,173.68,7.06,77.12,28.05,0.7991
Kharif,Jowar,86.4,43.48,45.38,6.03,64.49,31.4,0.7721
Kharif,Ragi,56.9,46.55,28.53,5.8,68.27,26.51,0.7792
Kharif,Groundnut,22.78,44.25,26.58,6.81,65.1,27.58,0.8188
Kharif,Rice,142.96,47.28,45.04,5.71,82.2,34.05,0.6897
Kharif,Groundnut,22.97,49.47,28.23,6.48,67.89,28.74,0.7993
Kharif,Groundnut,22.44,45.98,26.73,6.46,72.67,32.26,0.8416
Annual,Sugarcane,275,94.52,167.04,7.23,75.81,28.23,0.759
Kharif,Ragi,55.98,41.09,25.29,5.89,60.88,29.36,0.6638
Kharif,Ragi,56.27,45.08,28.89,7.03,70.4,26.91,0.8094
Kharif,Jowar,85.2,49.62,42.05,7.35,58.52,28.64,0.7318
Annual,Sugarcane,289.75,83.26,189.24,6.95,78.66,30.19,0.8038
Kharif,Rice,139.23,41.13,57.58,5.62,89.9,33.55,0.6597
Kharif,Jowar,89.29,43.63,46.85,8,60.54,31.45,0.7703
Kharif,Cotton,134.64,73.56,73.98,7.48,77.91,34.23,0.6957
Kharif,Ragi,53.55,49.35,28.88,6.93,70.93,27.7,0.7709
Annual,Sugarcane,286.22,87.81,164.91,7.23,78.43,30.18,0.8673
Kharif,Rice,125.87,41.03,58.16,6.83,93.62,32.79,0.6754
Rabi,Wheat,145.88,54.38,48.75,7.19,74.24,20.29,0.7248
Kharif,Jowar,89.11,43.93,41.06,6.15,55.47,31.76,0.6848
Kharif,Groundnut,21.47,42.1,25.8,7.22,73.2,26.8,0.7018
Kharif,Rice,146.91,45.62,59.82,5.74,94.71,25.76,0.6012
Kharif,Groundnut,22.08,45.12,27.53,6.28,65.1,30.24,0.8451
Kharif,Jowar,95.4,46.4,49.05,6.13,57.26,28.25,0.6918
Kharif,Ragi,54.3,43.81,25.82,5.8,61.21,28.62,0.7584
Kharif,Jowar,80.36,49.42,45.08,7.61,68.21,30.07,0.7114
Annual,Sugarcane,252.61,92.55,151.37,7.48,75.6,30.68,0.6324
Kharif,Cotton,139.35,70.48,70.66,7.43,76.56,33.3,0.7865
Kharif,Groundnut,24.92,44.7,29.58,6.58,69.03,32.19,0.7734
Annual,Sugarcane,269.32,93.33,173.49,6.78,77.92,29.43,0.8326
Kharif,Ragi,54.37,49.79,28.15,6.34,66.66,26.01,0.7824
Annual,Sugarcane,281.26,79.91,155.71,6.55,78.29,29.76,0.7555
Annual,Sugarcane,252.67,89.85,162.82,7.41,79.47,31.68,0.7328
Kharif,Groundnut,22.28,43.72,25.74,6.38,74.21,30.11,0.7996
Rabi,Wheat,126.01,51.06,44.72,7.3,73.17,24.81,0.7342
Kharif,Groundnut,21.36,40.48,27.07,6.31,67.07,27.72,0.7366
Kharif,Groundnut,22.92,43.33,27.27,7.27,71.9,33.07,0.8099
Kharif,Cotton,121.5,60.97,60.4,7.98,74.89,26.88,0.6379
Rabi,Wheat,126.2,55.89,47.96,6.06,77.39,20.84,0.7006
Annual,Sugarcane,269.56,88.6,185.09,7.12,80.46,29.51,0.8636
Kharif,Groundnut,21.53,48.86,28.97,6.46,73.77,30.13,0.7571
Kharif,Cotton,147.12,63.31,69.79,6.65,78.75,26.52,0.7212
Rabi,Wheat,134.91,50.08,42.64,7.19,75.99,22.38,0.7865
Kharif,Groundnut,21.63,46.74,26.98,6.34,67.63,29.26,0.8273
Kharif,Ragi,55.09,41.5,25.43,6.94,71.66,27.15,0.7529
Kharif,Cotton,137.23,74,74.38,7.67,71.1,28.97,0.6984
Kharif,Ragi,50.45,40.7,28.9,5.94,70.32,29.78,0.6537
Kharif,Groundnut,21.76,47.52,25.71,6.85,70.89,32.11,0.8126
Kharif,Groundnut,24.03,42.05,25.52,6.42,73.29,30.05,0.7415
Kharif,Rice,142.22,51.3,48.22,5.76,89.98,27.74,0.7973
Kharif,Jowar,87.54,43.71,45.62,6.5,55.56,29.94,0.8142
Kharif,Groundnut,24.86,42.45,27.33,6.96,69.36,26.18,0.7755
Rabi,Wheat,124.56,54.11,49.39,6,67.56,20.99,0.6654
Kharif,Ragi,52.63,49.82,25.91,7.23,73.4,27.2,0.6674
Kharif,Ragi,53.38,44.47,28.35,6.95,72.94,29.8,0.7629
Kharif,Groundnut,22.83,48.28,25.33,7.1,70.62,28.91,0.7946
Kharif,Jowar,87.41,42.96,41.57,6.45,56.79,31.47,0.7123
Kharif,Ragi,52.97,43.92,26.42,5.81,60.2,29.28,0.7202
Annual,Sugarcane,264.69,98.32,189.86,6.7,84.74,28.42,0.6159
Kharif,Jowar,94.33,48.35,44.82,6.73,57.91,28.41,0.7952
Rabi,Wheat,147.22,57.13,41.07,6.17,73.66,22.12,0.7411
Kharif,Cotton,123.04,72.61,71.55,7.95,79.72,33.89,0.6087
Kharif,Rice,112.98,47.05,59.24,6.52,87.33,27.05,0.7773
Rabi,Wheat,127.87,57.88,49.78,6.09,69.92,20.41,0.6611
Kharif,Groundnut,21.67,44.66,25.61,6.59,70,32.89,0.8377
Kharif,Cotton,131.62,70.33,64.25,7.68,77.86,27.14,0.7592
Kharif,Ragi,51.31,46.22,25.35,5.93,62.84,27.82,0.7397
Kharif,Cotton,131.15,62.42,74.05,7.83,73.38,34.36,0.6793
Kharif,Jowar,94.68,47.52,44.28,7.35,62.37,29.8,0.8664
Kharif,Jowar,91.47,42.95,44.03,6.59,56.65,30.48,0.8056
Annual,Sugarcane,274.49,82.82,177.94,7.36,78.34,31.2,0.7964
Kharif,Jowar,93.46,48.24,41.99,6.93,66.01,30.92,0.7748
Kharif,Rice,131.48,45.77,48.18,5.84,80.85,30.42,0.8015
Kharif,Rice,110.16,42.61,45.91,6.54,86.24,32.01,0.7751
Kharif,Rice,119.87,59.65,40.44,6.75,90.95,34.53,0.6534
Kharif,Jowar,95.37,44.39,40.13,6.72,61.9,29.98,0.8179
Rabi,Wheat,133.83,58.5,40.92,7.49,65.31,23.73,0.6641
Kharif,Jowar,92.81,41,48.75,6.52,58.81,28.79,0.7427
Rabi,Wheat,120.51,57.19,49.37,6.32,69.9,21.97,0.7158
Kharif,Rice,117.93,43.33,55.85,5.58,91.1,29.21,0.7445
Kharif,Ragi,54.4,42.94,27.72,5.75,63.03,28.77,0.8041
Kharif,Rice,105.85,47.07,45.49,6.19,92.32,26.53,0.7561
Kharif,Cotton,124.02,71.1,70.93,7.29,74.37,29.03,0.8047
Kharif,Cotton,143,66.14,61.5,7.13,74.76,31.27,0.8312
Annual,Sugarcane,270.98,99.99,156.87,6.93,83.66,31.34,0.7201
Rabi,Wheat,120.37,54.72,47.92,6.12,68.94,24.15,0.7008
Kharif,Ragi,53.05,48.71,28.37,5.85,70.6,26.73,0.7351
Rabi,Wheat,128.75,57.53,42.48,6.59,66.56,20.52,0.7313
Kharif,Cotton,146.7,70.73,60.78,6.2,79.99,33,0.6382
Annual,Sugarcane,268.68,92.14,182.7,6.56,75.44,28.52,0.6841
Kharif,Ragi,59.24,40.89,25.83,6.99,74.26,29.79,0.6146
Annual,Sugarcane,273.62,86.36,188.6,6.64,82.36,28.48,0.7476
Kharif,Ragi,57.93,48.92,28.11,6.55,67.31,29.91,0.7796
Kharif,Cotton,125.58,71.73,60.22,6.58,73.57,30.49,0.7635
Rabi,Wheat,138.64,51.4,42.11,6.25,76.97,23.69,0.7267
Kharif,Rice,107.52,43.94,55.49,6.83,91.71,25.41,0.6578
Kharif,Ragi,53.32,41.83,29.58,6.35,67.78,28.39,0.818
Kharif,Ragi,50.95,45.8,27.81,6.53,60.53,29.87,0.751
Annual,Sugarcane,263.58,95.21,164.56,6.81,83.15,31.89,0.7249
Annual,Sugarcane,283.99,89.37,183.02,7.2,77.8,30.85,0.7979
Annual,Sugarcane,273.38,98.89,180.64,6.82,77.62,31.87,0.7268
Kharif,Jowar,91.18,42.75,42.97,7.34,61.76,28.03,0.8333
Kharif,Cotton,128.39,62.46,68.01,6.18,70.22,26.64,0.7114
Kharif,Groundnut,21.47,48.45,26.27,6.75,67.22,34.02,0.7538
Annual,Sugarcane,267.71,97.22,178.16,6.82,79.57,28.99,0.7976
Annual,Sugarcane,257.2,94.41,157.24,7.16,81.2,30.22,0.7856
Kharif,Rice,110.97,40.13,41.95,5.73,85.62,29.38,0.7149
Kharif,Rice,122.71,50.02,50.57,6.86,82.95,25.2,0.7891
Kharif,Ragi,57.95,46.48,28.45,6.27,74.47,26.23,0.7241
Kharif,Jowar,92.57,43.38,47.45,7.28,55.36,30.29,0.7818
Rabi,Wheat,125.48,52.97,42.43,7.01,71.43,22.65,0.8247
Kharif,Rice,108.63,59.27,48.54,6.99,85.11,25,0.6639
Annual,Sugarcane,295.45,82.53,183.33,6.57,80.6,31.32,0.7065
Kharif,Rice,116.88,43.19,44.14,5.55,88.11,28.85,0.7636
Rabi,Wheat,134.61,50.22,43.26,6.99,75.48,24.47,0.7637
Kharif,Rice,124.67,55.23,49.79,6.86,87.94,29.48,0.8722
Kharif,Cotton,124.21,69.44,61.24,7.42,77.38,32.61,0.7264
Annual,Sugarcane,280.11,88.66,170.98,6.97,83.82,31.43,0.8429
Kharif,Cotton,135.44,63.35,70.17,6.72,77,30.29,0.87
Annual,Sugarcane,267.52,85.72,169.26,6.72,84.19,28.5,0.7811
Kharif,Rice,127.02,59.77,56.16,6.87,80.03,28.71,0.6871
Kharif,Jowar,97.25,46.98,44.76,7.17,68.52,31.71,0.7479
Rabi,Wheat,125.44,53.37,43.28,6.37,71.63,22.6,0.8358
Annual,Sugarcane,256.87,88.78,150.54,6.54,83.19,29.46,0.6976
Rabi,Wheat,148.1,52.82,42.31,7.05,73.85,24.71,0.7241
Kharif,Rice,125.33,50.81,44.63,5.56,87.03,31.12,0.8468
Kharif,Rice,112.54,41.02,54.61,5.78,94.65,31.84,0.6829
Kharif,Ragi,51.7,44.25,25.99,7.35,73.92,26.23,0.6663
Kharif,Cotton,131.84,67.37,67.18,6.27,75.37,34.1,0.8552
Kharif,Jowar,92.76,42.47,46.31,7.72,65.74,30.06,0.7983
Kharif,Groundnut,23.01,44.53,26.5,6.24,73.52,25.52,0.7518
Rabi,Wheat,136.7,51.24,45.73,6.12,69.62,24.99,0.7307
Kharif,Ragi,50.13,49.67,28.78,7.29,64.84,29.05,0.6592
Kharif,Groundnut,22.39,46.75,25.21,6.64,73.25,30.39,0.8179
Rabi,Wheat,146.03,57.85,45.13,6.99,74.13,23.46,0.8123
Rabi,Wheat,138.39,56.84,40.16,7.46,74.24,24.12,0.7176
Kharif,Groundnut,22.72,49.04,26.38,6.15,68.73,31.03,0.783
Kharif,Cotton,131.1,73.83,64.48,7.4,70.46,33.13,0.7087
Kharif,Ragi,51.16,44.49,29.71,6.28,74.92,28.02,0.7522
Annual,Sugarcane,290.61,92.57,172.03,6.63,76.75,28.99,0.7478
Kharif,Jowar,93.58,40.28,43.58,7.05,55.47,28.75,0.7606
Annual,Sugarcane,279.65,99.5,151.67,6.65,78.04,28.74,0.6846
Kharif,Jowar,86.17,46.99,47.44,7.49,68.1,29.71,0.7842
Rabi,Wheat,144.81,50.84,48.08,7.1,67.82,20.43,0.6649
Kharif,Rice,135.17,54.4,57.34,6.18,84.65,30.09,0.8273
Rabi,Wheat,137.52,50.28,46.46,7.23,66.01,24.95,0.6759
Kharif,Groundnut,24.43,43.28,29.18,6.85,72.77,29.58,0.7867
Annual,Sugarcane,297.3,87.54,161.22,7.28,76.33,30.09,0.7772
Kharif,Cotton,137.3,68.87,65.06,7.45,76.63,28.71,0.8546
Kharif,Jowar,97.49,48.38,43.22,7.2,60.12,27.82,0.7525
Kharif,Ragi,57.95,43.24,25.29,6.2,73.45,27.42,0.7326
Kharif,Cotton,124.64,61.09,74.61,6.4,75.07,30.47,0.7453
Kharif,Groundnut,20.76,43.34,28,7.42,68.32,31.13,0.7764
Kharif,Rice,130.13,44.82,45.07,6.53,82.08,29.1,0.7923
Annual,Sugarcane,270.6,80.12,165.1,7.11,77.28,30.19,0.8441
Kharif,Groundnut,24.46,40.05,29.16,7.23,66.22,32.43,0.64
Kharif,Jowar,85.28,47.24,42.13,7.85,55.54,30.23,0.703
Annual,Sugarcane,266.93,86.01,153.87,7.07,77.68,29.09,0.8077
Kharif,Rice,121.6,48.66,43.12,5.71,87.63,31.23,0.8382
Kharif,Jowar,96.55,46.57,41.09,6.79,58.32,27.71,0.7305
Kharif,Groundnut,23.33,47.15,28.28,7.13,72.58,28.25,0.7961
Kharif,Rice,107.28,43.02,52.75,6.53,86.45,34.89,0.7356
Kharif,Rice,103.32,49.11,46.89,6.83,94.93,28.74,0.7264
Rabi,Wheat,120.67,51.72,44.96,6.95,67.88,20.48,0.7242
Kharif,Groundnut,22.74,47.18,29.18,6.46,74.12,32.23,0.7616
Kharif,Cotton,143.36,72.77,63.49,6.86,77.15,26.63,0.7554
Rabi,Wheat,140.23,55.85,45.38,6.45,75.8,22.47,0.8794
Kharif,Rice,137.44,56.46,53.08,5.85,85.62,27.09,0.7652
Kharif,Rice,104.5,44.92,48.81,6.47,81.26,30.67,0.7745
Kharif,Ragi,58.42,42.24,27.93,6.95,66.17,26.66,0.7746
Kharif,Jowar,87.67,49.01,40.91,7.98,58.37,30.12,0.6974
Annual,Sugarcane,261.38,75.67,153.06,7.08,76.96,28.91,0.6957
Kharif,Cotton,142.11,70.73,71.29,7.33,77.54,34.13,0.7388
Kharif,Groundnut,20.08,48.49,26.28,7.27,67.86,29.54,0.7194
Kharif,Jowar,86.81,48.42,42.52,7.19,56.6,28.07,0.746
Annual,Sugarcane,285.49,82.84,184.63,6.92,75.48,31.39,0.7264
Rabi,Wheat,133.41,57.15,49.13,6.8,72.42,22.07,0.8657
Kharif,Groundnut,23.5,48.66,26.93,7.36,69.44,28.02,0.7766
Annual,Sugarcane,293.67,89.44,156.65,7.12,78.64,29.89,0.822
Annual,Sugarcane,256.41,80.15,185.84,6.89,81.89,28.31,0.7028
Kharif,Cotton,131.45,70.14,64.2,6.57,73.8,33.21,0.8158
Kharif,Groundnut,21.8,44.58,25.29,7.27,69.41,29.1,0.8134
Kharif,Groundnut,21.75,45.23,27.5,6.84,70.27,33.51,0.8982
Kharif,Cotton,136.57,70.97,63.44,6.24,74.07,25.1,0.7604
Kharif,Jowar,94.48,46.95,40.98,6.09,66.03,27.9,0.6948
Kharif,Ragi,55.03,40.19,25.92,6.12,64.24,29.03,0.7559
Kharif,Groundnut,24.88,43.53,27.89,6.01,67.3,26.4,0.6959
Kharif,Cotton,122.24,67.89,61.08,6.2,74.64,29.47,0.7856
Annual,Sugarcane,290.79,90.84,189.15,7.25,79.26,28.77,0.7401
Kharif,Ragi,50.15,40.6,26.44,7.28,67.31,26.44,0.6784
Annual,Sugarcane,281.38,90.15,185.21,7.17,81.67,29.37,0.8153
Kharif,Ragi,56.89,43.92,26.82,5.91,60.09,27.65,0.7818
Kharif,Ragi,56.67,49.65,29.98,6.95,69.68,29.38,0.6928
Kharif,Jowar,96.91,45.05,43.26,6.02,61.99,28.39,0.7883
Annual,Sugarcane,252.29,81.87,170.87,6.8,80.18,29.46,0.8243
Kharif,Jowar,80.77,46.45,47.42,6.84,60.61,29.07,0.8099
Kharif,Ragi,54.47,45.04,25.9,6.83,73.81,27.08,0.8012
Kharif,Groundnut,24.47,43.07,28.14,7.19,73.38,31.51,0.7504
Annual,Sugarcane,254.45,82.51,183.45,7.44,82.22,31.92,0.6519
Kharif,Cotton,134.74,68.29,69.37,6.07,75.1,31.16,0.8851
Kharif,Rice,138.33,58.62,43.13,6.35,82.25,26.75,0.7029
Kharif,Cotton,130.92,63.1,61.34,7.87,72.98,29.66,0.7472
Kharif,Ragi,58.74,43.04,27.09,6.8,69.69,26.07,0.7616
Kharif,Groundnut,20.66,42.11,25.06,7.1,72.69,34.28,0.6541
Kharif,Cotton,134.19,63.93,61.65,7.19,71.97,33.19,0.7652
Kharif,Rice,106.85,51.72,41.73,6.27,87.66,30.77,0.8394
Kharif,Jowar,96.69,44.99,49.52,7.44,62.66,31.27,0.7713
Annual,Sugarcane,264.01,91.45,188.5,7.28,77.87,29.36,0.7511
Kharif,Ragi,58.41,46.29,25.77,6.65,69.68,29.12,0.7806
Kharif,Cotton,132.1,61.98,66.09,7.95,79,32.78,0.7143
Kharif,Jowar,88.85,46.84,48.02,6.42,60.11,30.13,0.8135
Kharif,Rice,113.01,44.02,45.92,6.97,91.6,34.19,0.6808
Kharif,Jowar,93.09,46.45,40.78,6.07,65.69,28.54,0.7348
Annual,Sugarcane,271.01,97.91,186.02,7.08,76.84,31.01,0.7425
Kharif,Rice,129.02,54.78,51.37,6.08,92.97,30.07,0.8545
Rabi,Wheat,135.5,50.16,49.01,6.3,73.37,20.84,0.7347
Kharif,Rice,133.98,59.62,58.79,6.37,81.39,25.86,0.6664
Kharif,Groundnut,24.08,44.37,26.32,7.15,71.82,31.26,0.8017
Annual,Sugarcane,261.15,86.84,155.95,7.05,80.37,29.63,0.861
Kharif,Cotton,145.8,68.6,60.45,6.49,72.64,32.11,0.7439
Rabi,Wheat,142.02,52.13,43.17,6.43,65.79,23.42,0.7419
Annual,Sugarcane,287.97,84.84,160.54,7,84.32,31.38,0.7701
Kharif,Ragi,52.79,49.28,26.05,7.11,69.58,27.25,0.7383
Kharif,Jowar,98.02,47.13,49.7,6.03,59.92,28.8,0.6865
Annual,Sugarcane,251.13,91.63,167.08,6.63,84.02,29.68,0.7387
Kharif,Jowar,97.35,48.58,44.99,6.28,59.21,27.32,0.7097
Kharif,Groundnut,21.16,42.14,29.27,7.48,67.35,28.33,0.6956
Kharif,Rice,100.32,40.45,59.32,6.57,85.53,33.94,0.6374
Rabi,Wheat,147.56,57.72,49.99,6.08,65.66,24.13,0.5969
Kharif,Jowar,85.23,42.19,41.6,6.88,56.61,28.93,0.7623
Kharif,Groundnut,22.54,42.05,29.28,6.85,69.65,26.69,0.8181
Kharif,Jowar,93.77,48.03,46.62,7.33,56.45,28.25,0.7547
Kharif,Rice,143,47.5,48.51,5.99,81.15,25.49,0.7321
Kharif,Ragi,59.73,45.97,25.65,6.72,64.25,29.49,0.7268
Annual,Sugarcane,271.93,86.47,187.85,6.84,80.7,28.23,0.7964
Rabi,Wheat,134.18,56.8,43.1,6.2,74.23,22.36,0.8488
Kharif,Rice,145.54,42.83,46.7,6.95,91.96,32.51,0.6751
Kharif,Ragi,51.29,42.24,25.64,6.9,69.83,29.89,0.6922
Kharif,Cotton,132.9,67,61.01,5.81,75.63,25.46,0.7419
Kharif,Cotton,145.76,61.65,66.33,6,73.85,28.37,0.7477
Kharif,Jowar,82.09,47.86,46.79,6.63,55.36,28.09,0.6994
Annual,Sugarcane,262.54,84.9,162.67,7.29,81.06,28.61,0.7867
Kharif,Cotton,132.2,73.96,61.33,6.43,75.31,31.85,0.7725
Kharif,Cotton,127.54,60.91,63.16,6.28,76.97,29.73,0.7528
Kharif,Groundnut,22.13,44.53,29.82,6.25,74.68,28.94,0.7513
Kharif,Groundnut,24.05,41.16,26.17,6.97,73.32,34.09,0.6921
Annual,Sugarcane,259.53,88.07,174.91,6.84,81.27,28.1,0.7972
Rabi,Wheat,126.42,57.04,43.53,6.81,71.41,20.69,0.8147
Kharif,Cotton,137.25,65.43,64.29,7.63,70.25,33.31,0.7392
Kharif,Rice,108.77,40.36,48.77,6.2,82.84,34.99,0.7148
Annual,Sugarcane,295.26,98.33,171.07,6.66,83.27,29.28,0.7146
Annual,Sugarcane,254.76,92.94,165.7,6.5,83.14,28.07,0.6623
Kharif,Ragi,52.23,49.41,29.26,7.11,69.9,26.86,0.6967
Annual,Sugarcane,257.21,96.33,182.8,6.87,82.7,28.95,0.7181
Kharif,Groundnut,20.7,49.36,25.23,6.13,69.42,34.61,0.6363
Kharif,Ragi,58.73,47.66,26.44,7.21,73.65,28.63,0.7044
Kharif,Ragi,57.15,40.4,26.7,6.26,64.16,26.75,0.7516
Kharif,Ragi,56.17,40.16,26.66,6.43,68.04,27.48,0.8383
Kharif,Rice,141.51,48.36,44.06,6.41,90.42,29.2,0.8182
Kharif,Cotton,137.33,65.21,60.72,7.53,74.99,33.15,0.7859
Rabi,Wheat,131.41,56.84,41.46,7.48,71.72,20.38,0.7299
Kharif,Groundnut,22.32,44.3,28.18,6.92,70.03,30.18,0.9373
Rabi,Wheat,129.22,59.27,44.7,6.46,76.4,22.73,0.8085
Kharif,Cotton,145.14,61.18,61.83,7.53,75.9,34.76,0.6684
Kharif,Cotton,123.33,72.49,61.78,6.13,74.04,32.8,0.6952
Kharif,Groundnut,24.66,42.31,29.03,6.21,74.03,32.4,0.665
Annual,Sugarcane,274.41,87.35,154.06,7.43,83.23,31.81,0.7297
Kharif,Rice,112.61,52.86,43.95,6.87,90.06,33.25,0.733
Kharif,Groundnut,24.04,46.11,29.72,6.02,65.05,31.91,0.6607
Kharif,Ragi,56.67,44.05,27.93,5.87,66.55,28.3,0.8664
Kharif,Jowar,90.15,42.01,42.17,7.57,56.1,28.49,0.7495
Kharif,Jowar,99.08,46.36,42.48,6.27,61.86,28.13,0.7461
Kharif,Groundnut,24.06,47.6,27.35,6.46,66.12,27.23,0.7566
